Task,Sensor,Feature,Trial_1,Trial_2,Trial_3,Trial_4,Trial_5,CV_Value_Percent,SD_Value
Task_1,APL,RMS_Amplitude,0.4769,0.4769,0.4769,0.4769,0.4771,0.0197,0.0001
Task_1,APL,MRV,0.4769,0.4769,0.4769,0.4769,0.4771,0.0196,0.0001
Task_1,APL,iEMG,1907.4309,1907.6399,1907.7217,1907.6755,1908.417,0.0196,0.3747
Task_1,APL,WL,0.0187,0.0229,0.0269,0.0315,0.0521,42.7145,0.013
Task_1,FCR,RMS_Amplitude,0.4705,0.471,0.471,0.4707,0.4716,0.0814,0.0004
Task_1,FCR,MRV,0.4705,0.471,0.471,0.4707,0.4715,0.0812,0.0004
Task_1,FCR,iEMG,1882.0812,1883.8973,1883.9679,1882.997,1886.191,0.0812,1.5289
Task_1,FCR,WL,0.0244,0.0663,0.0543,0.0475,0.0968,45.9049,0.0266
Task_1,FDS,RMS_Amplitude,0.5059,0.5074,0.5069,0.5072,0.512,0.4631,0.0024
Task_1,FDS,MRV,0.5059,0.5074,0.5069,0.5072,0.512,0.4624,0.0023
Task_1,FDS,iEMG,2023.6408,2029.759,2027.7855,2028.7241,2047.8283,0.4624,9.3929
Task_1,FDS,WL,0.1073,0.1343,0.1605,0.1919,0.1969,24.0542,0.038
Task_1,FDP,RMS_Amplitude,0.4959,0.4952,0.4924,0.4933,0.494,0.2869,0.0014
Task_1,FDP,MRV,0.4959,0.4952,0.4924,0.4933,0.494,0.2874,0.0014
Task_1,FDP,iEMG,1983.599,1980.949,1969.6735,1973.0293,1975.9298,0.2874,5.6804
Task_1,FDP,WL,0.232,0.2568,0.372,0.2839,0.2687,18.8979,0.0534
Task_1,ED,RMS_Amplitude,0.4072,0.4067,0.4065,0.4065,0.4067,0.0728,0.0003
Task_1,ED,MRV,0.4072,0.4067,0.4065,0.4065,0.4067,0.0728,0.0003
Task_1,ED,iEMG,1628.7232,1626.8891,1625.8036,1625.8475,1626.7382,0.0728,1.1843
Task_1,ED,WL,0.067,0.0665,0.0646,0.0652,0.064,1.9248,0.0013
Task_1,EI,RMS_Amplitude,0.6,0.5008,0.4969,0.4943,0.4945,8.9499,0.0463
Task_1,EI,MRV,0.599,0.5003,0.4969,0.4943,0.4945,8.879,0.0459
Task_1,EI,iEMG,2395.981,2001.1179,1987.4705,1977.1078,1978.1757,8.879,183.6161
Task_1,EI,WL,3.5621,0.9119,0.3564,0.0233,0.0298,152.5432,1.4899
Task_1,ECU,RMS_Amplitude,0.5126,0.4772,0.4763,0.4763,0.4763,3.3347,0.0161
Task_1,ECU,MRV,0.5062,0.4772,0.4763,0.4763,0.4763,2.7487,0.0133
Task_1,ECU,iEMG,2024.7161,1908.6818,1905.3052,1905.2965,1905.3014,2.7487,53.0463
Task_1,ECU,WL,2.984,0.1278,0.0041,0.0038,0.0052,211.1745,1.3198
Task_1,ECR,RMS_Amplitude,0.4728,0.5594,0.5524,0.5578,0.5643,7.1207,0.0385
Task_1,ECR,MRV,0.4728,0.5588,0.552,0.5575,0.564,7.0914,0.0384
Task_1,ECR,iEMG,1891.2562,2235.3332,2207.9598,2229.8491,2255.9682,7.0914,153.4636
Task_1,ECR,WL,0.0024,1.7588,1.8762,1.6706,1.9479,56.2892,0.8169
Task_2,APL,RMS_Amplitude,0.4773,0.479,0.4785,0.4785,0.4785,0.1331,0.0006
Task_2,APL,MRV,0.4773,0.479,0.4785,0.4785,0.4785,0.1331,0.0006
