Task,Marker_Coordinate,Feature,Trial_1,Trial_2,Trial_3,Trial_4,Trial_5,CV_Value_Percent,SD_Value
Task_1,Marker_1_X,Position_Range,3.0432,2.0795,4.2041,3.2746,5.3882,34.8545,1.2540
Task_1,Marker_1_Y,Position_Range,2.3642,4.3989,4.8797,4.9940,4.1590,25.4889,1.0601
Task_1,Marker_1_Z,Position_Range,5.5476,5.2293,7.2171,6.0367,8.7284,21.8573,1.4321
Task_1,Marker_2_X,Position_Range,2.3014,1.9903,3.1217,2.3889,3.8348,27.3227,0.7452
Task_1,Marker_2_Y,Position_Range,2.1899,3.6385,4.2927,4.2266,3.7984,23.4509,0.8511
Task_1,Marker_2_Z,Position_Range,4.3401,4.5215,6.2722,5.6920,8.3829,27.9492,1.6327
Task_1,Marker_3_X,Position_Range,1.4225,1.0958,1.8078,1.2479,2.2993,30.7631,0.4844
Task_1,Marker_3_Y,Position_Range,2.2648,3.4249,4.1379,3.6924,3.0909,21.2023,0.7044
Task_1,Marker_3_Z,Position_Range,3.4041,3.3682,5.4262,4.1333,8.3694,42.3116,2.0903
Task_1,Marker_4_X,Position_Range,0.7714,1.2105,1.7527,1.2608,1.7576,30.7608,0.4155
Task_1,Marker_4_Y,Position_Range,2.5809,3.4559,3.7467,3.2731,3.0292,13.7314,0.4418
Task_1,Marker_4_Z,Position_Range,3.0861,2.9817,5.4484,3.9810,7.4753,41.1255,1.8895
Task_1,Marker_5_X,Position_Range,3.3028,2.2843,3.7396,3.0675,5.8158,36.3838,1.3251
Task_1,Marker_5_Y,Position_Range,3.5236,5.8420,8.1574,8.4151,7.5719,30.4436,2.0403
Task_1,Marker_5_Z,Position_Range,7.6770,4.4186,10.9050,8.5410,15.3663,43.4224,4.0737
Task_1,Marker_6_X,Position_Range,3.2479,2.1935,3.8667,2.8918,5.8056,38.1247,1.3729
Task_1,Marker_6_Y,Position_Range,4.0418,6.4927,10.7042,10.1313,9.5989,34.6070,2.8356
Task_1,Marker_6_Z,Position_Range,8.8433,5.3533,13.3214,10.6212,18.8700,44.5485,5.0794
Task_1,Marker_7_X,Position_Range,3.3247,2.0708,3.7151,3.5229,5.9764,38.0116,1.4148
Task_1,Marker_7_Y,Position_Range,4.3082,7.8674,12.4249,12.1403,11.7386,36.4519,3.5343
Task_1,Marker_7_Z,Position_Range,9.9708,6.4713,15.5185,11.7591,21.3378,43.6790,5.6833
Task_1,Marker_8_X,Position_Range,1.8093,1.6794,2.3531,1.6305,3.0458,28.5277,0.6001
Task_1,Marker_8_Y,Position_Range,4.2102,6.4075,8.7287,7.0686,6.7158,24.4624,1.6209
Task_1,Marker_8_Z,Position_Range,7.2229,5.5351,11.7193,8.3681,16.1141,42.8536,4.1962
Task_1,Marker_9_X,Position_Range,1.8061,1.6541,1.3894,1.3792,3.2208,40.5169,0.7657
Task_1,Marker_9_Y,Position_Range,4.9740,7.6898,11.1075,8.6354,8.1687,27.0508,2.1952
Task_1,Marker_9_Z,Position_Range,8.5395,6.5356,15.1620,12.1810,21.3360,45.7648,5.8354
Task_1,Marker_10_X,Position_Range,1.5681,1.2800,1.4673,0.9141,2.2166,32.0326,0.4770
Task_1,Marker_10_Y,Position_Range,5.6196,8.8097,12.6124,9.5015,9.1625,27.1793,2.4845
Task_1,Marker_10_Z,Position_Range,9.5855,6.9555,16.7862,12.1937,23.1675,46.5868,6.3999
Task_1,Marker_11_X,Position_Range,1.3591,1.2611,2.0741,1.1140,1.8576,26.8511,0.4117
Task_1,Marker_11_Y,Position_Range,4.0546,5.5279,7.7406,5.9597,5.5478,22.8928,1.3200
Task_1,Marker_11_Z,Position_Range,5.7495,5.1988,10.7382,7.6292,14.6001,44.4766,3.9064
Task_1,Marker_12_X,Position_Range,1.1654,1.6082,2.8661,1.5910,2.2522,35.1492,0.6666
Task_1,Marker_12_Y,Position_Range,4.4518,6.7676,9.3386,7.2842,6.7471,25.1699,1.7412
Task_1,Marker_12_Z,Position_Range,6.7903,5.8565,13.1876,10.0947,17.7645,45.4293,4.8785
Task_1,Marker_13_X,Position_Range,1.0892,1.8650,3.5598,2.1089,2.9543,41.5685,0.9625
Task_1,Marker_13_Y,Position_Range,4.9878,7.2956,11.1401,8.2742,7.7375,28.0016,2.2085
Task_1,Marker_13_Z,Position_Range,7.6135,6.8476,15.3564,12.0774,20.0388,44.3903,5.4985
Task_1,Marker_14_X,Position_Range,1.0928,1.8585,2.9155,1.8348,2.7140,35.4698,0.7389
Task_1,Marker_14_Y,Position_Range,2.9538,4.6197,6.0172,4.7626,4.1965,24.4604,1.1032
Task_1,Marker_14_Z,Position_Range,4.6717,4.1320,8.6362,5.1445,11.9759,48.2481,3.3349
Task_1,Marker_15_X,Position_Range,1.5091,2.4453,3.7538,2.3355,3.3491,33.1061,0.8868
Task_1,Marker_15_Y,Position_Range,3.7345,5.5377,7.4584,5.5433,5.1082,24.3388,1.3329
Task_1,Marker_15_Z,Position_Range,5.1818,4.9795,10.1277,7.6628,14.6861,47.2786,4.0317
Task_1,Marker_16_X,Position_Range,2.1597,3.3035,4.6522,3.4399,4.4568,27.8603,1.0036
Task_1,Marker_16_Y,Position_Range,4.1156,5.9773,8.2342,6.0975,5.8328,24.1846,1.4635
Task_1,Marker_16_Z,Position_Range,5.5709,5.4187,11.6949,7.9572,16.6917,50.3862,4.7699
Task_1,Marker_17_X,Position_Range,13.9741,14.3529,14.3284,13.5895,13.6518,2.5810,0.3608
Task_1,Marker_17_Y,Position_Range,5.6977,8.0400,8.6921,8.2459,6.6738,16.6607,1.2445
Task_1,Marker_17_Z,Position_Range,13.5194,9.6919,11.7331,11.6647,11.0703,11.9543,1.3790
Task_1,Marker_18_X,Position_Range,25.2494,22.7337,21.2056,19.9703,20.7663,9.4782,2.0838
