Trial,Channel,Task 1,Task 2,Task 3,Task 4,Task 5,Task 6,Task 7
1,APL,"Mean: 0.48, Std: 0.00, RMS: 0.48, Max: 0.48, Min: 0.48","Mean: 0.48, Std: 0.00, RMS: 0.48, Max: 0.48, Min: 0.48","Mean: 0.48, Std: 0.00, RMS: 0.48, Max: 0.48, Min: 0.48","Mean: 0.50, Std: 0.02, RMS: 0.50, Max: 0.56, Min: 0.47","Mean: 0.48, Std: 0.00, RMS: 0.48, Max: 0.48, Min: 0.47","Mean: 0.48, Std: 0.00, RMS: 0.48, Max: 0.48, Min: 0.48","Mean: 0.48, Std: 0.01, RMS: 0.48, Max: 0.55, Min: 0.47"
1,FCR,"Mean: 0.47, Std: 0.00, RMS: 0.47, Max: 0.47, Min: 0.47","Mean: 0.48, Std: 0.00, RMS: 0.48, Max: 0.48, Min: 0.47","Mean: 0.48, Std: 0.00, RMS: 0.48, Max: 0.49, Min: 0.47","Mean: 0.48, Std: 0.00, RMS: 0.48, Max: 0.49, Min: 0.47","Mean: 0.48, Std: 0.01, RMS: 0.48, Max: 0.50, Min: 0.47","Mean: 0.48, Std: 0.01, RMS: 0.48, Max: 0.52, Min: 0.47","Mean: 0.48, Std: 0.01, RMS: 0.48, Max: 0.50, Min: 0.47"
1,FDS,"Mean: 0.51, Std: 0.00, RMS: 0.51, Max: 0.51, Min: 0.50","Mean: 0.51, Std: 0.00, RMS: 0.51, Max: 0.51, Min: 0.50","Mean: 0.52, Std: 0.01, RMS: 0.52, Max: 0.54, Min: 0.49","Mean: 0.52, Std: 0.00, RMS: 0.52, Max: 0.53, Min: 0.51","Mean: 0.54, Std: 0.01, RMS: 0.54, Max: 0.56, Min: 0.52","Mean: 0.52, Std: 0.00, RMS: 0.52, Max: 0.53, Min: 0.51","Mean: 0.55, Std: 0.01, RMS: 0.55, Max: 0.57, Min: 0.50"
1,FDP,"Mean: 0.50, Std: 0.00, RMS: 0.50, Max: 0.50, Min: 0.49","Mean: 0.49, Std: 0.00, RMS: 0.49, Max: 0.50, Min: 0.46","Mean: 0.49, Std: 0.00, RMS: 0.49, Max: 0.51, Min: 0.48","Mean: 0.50, Std: 0.01, RMS: 0.50, Max: 0.53, Min: 0.49","Mean: 0.52, Std: 0.01, RMS: 0.52, Max: 0.54, Min: 0.48","Mean: 0.51, Std: 0.01, RMS: 0.51, Max: 0.53, Min: 0.49","Mean: 0.50, Std: 0.01, RMS: 0.50, Max: 0.52, Min: 0.49"
1,ED,"Mean: 0.41, Std: 0.00, RMS: 0.41, Max: 0.41, Min: 0.40","Mean: 0.41, Std: 0.00, RMS: 0.41, Max: 0.42, Min: 0.40","Mean: 0.41, Std: 0.00, RMS: 0.41, Max: 0.43, Min: 0.41","Mean: 0.41, Std: 0.00, RMS: 0.41, Max: 0.43, Min: 0.40","Mean: 0.42, Std: 0.01, RMS: 0.42, Max: 0.46, Min: 0.40","Mean: 0.42, Std: 0.01, RMS: 0.42, Max: 0.43, Min: 0.40","Mean: 0.41, Std: 0.01, RMS: 0.41, Max: 0.45, Min: 0.40"
1,EI,"Mean: 0.60, Std: 0.03, RMS: 0.60, Max: 0.74, Min: 0.52","Mean: 0.49, Std: 0.00, RMS: 0.49, Max: 0.49, Min: 0.49","Mean: 0.58, Std: 0.01, RMS: 0.58, Max: 0.61, Min: 0.50","Mean: 0.52, Std: 0.02, RMS: 0.52, Max: 0.58, Min: 0.46","Mean: 0.53, Std: 0.01, RMS: 0.53, Max: 0.57, Min: 0.51","Mean: 0.54, Std: 0.02, RMS: 0.54, Max: 0.57, Min: 0.51","Mean: 0.54, Std: 0.02, RMS: 0.54, Max: 0.59, Min: 0.48"
1,ECU,"Mean: 0.51, Std: 0.08, RMS: 0.51, Max: 0.90, Min: 0.45","Mean: 0.48, Std: 0.00, RMS: 0.48, Max: 0.48, Min: 0.48","Mean: 0.52, Std: 0.01, RMS: 0.52, Max: 0.53, Min: 0.48","Mean: 0.51, Std: 0.01, RMS: 0.51, Max: 0.53, Min: 0.46","Mean: 0.51, Std: 0.01, RMS: 0.51, Max: 0.54, Min: 0.49","Mean: 0.51, Std: 0.01, RMS: 0.51, Max: 0.54, Min: 0.49","Mean: 0.51, Std: 0.01, RMS: 0.51, Max: 0.54, Min: 0.48"
1,ECR,"Mean: 0.47, Std: 0.00, RMS: 0.47, Max: 0.47, Min: 0.47","Mean: 0.52, Std: 0.02, RMS: 0.52, Max: 0.57, Min: 0.48","Mean: 0.48, Std: 0.00, RMS: 0.48, Max: 0.49, Min: 0.48","Mean: 0.48, Std: 0.00, RMS: 0.48, Max: 0.48, Min: 0.48","Mean: 0.50, Std: 0.00, RMS: 0.50, Max: 0.50, Min: 0.48","Mean: 0.50, Std: 0.01, RMS: 0.50, Max: 0.52, Min: 0.48","Mean: 0.49, Std: 0.01, RMS: 0.49, Max: 0.52, Min: 0.47"
2,APL,"Mean: 0.48, Std: 0.00, RMS: 0.48, Max: 0.48, Min: 0.47","Mean: 0.48, Std: 0.00, RMS: 0.48, Max: 0.48, Min: 0.48","Mean: 0.48, Std: 0.00, RMS: 0.48, Max: 0.48, Min: 0.47","Mean: 0.51, Std: 0.04, RMS: 0.51, Max: 0.59, Min: 0.47","Mean: 0.48, Std: 0.00, RMS: 0.48, Max: 0.48, Min: 0.48","Mean: 0.48, Std: 0.00, RMS: 0.48, Max: 0.48, Min: 0.48","Mean: 0.49, Std: 0.02, RMS: 0.49, Max: 0.58, Min: 0.47"
2,FCR,"Mean: 0.47, Std: 0.00, RMS: 0.47, Max: 0.48, Min: 0.47","Mean: 0.48, Std: 0.01, RMS: 0.48, Max: 0.50, Min: 0.47","Mean: 0.48, Std: 0.00, RMS: 0.48, Max: 0.50, Min: 0.47","Mean: 0.48, Std: 0.01, RMS: 0.48, Max: 0.50, Min: 0.47","Mean: 0.48, Std: 0.00, RMS: 0.48, Max: 0.49, Min: 0.47","Mean: 0.48, Std: 0.01, RMS: 0.48, Max: 0.49, Min: 0.47","Mean: 0.48, Std: 0.01, RMS: 0.48, Max: 0.51, Min: 0.47"
2,FDS,"Mean: 0.51, Std: 0.00, RMS: 0.51, Max: 0.51, Min: 0.50","Mean: 0.53, Std: 0.00, RMS: 0.53, Max: 0.54, Min: 0.48","Mean: 0.53, Std: 0.01, RMS: 0.53, Max: 0.54, Min: 0.49","Mean: 0.52, Std: 0.00, RMS: 0.52, Max: 0.53, Min: 0.49","Mean: 0.54, Std: 0.01, RMS: 0.54, Max: 0.56, Min: 0.49","Mean: 0.52, Std: 0.00, RMS: 0.52, Max: 0.54, Min: 0.47","Mean: 0.53, Std: 0.01, RMS: 0.53, Max: 0.56, Min: 0.51"
2,FDP,"Mean: 0.50, Std: 0.00, RMS: 0.50, Max: 0.50, Min: 0.47","Mean: 0.49, Std: 0.00, RMS: 0.49, Max: 0.49, Min: 0.48","Mean: 0.49, Std: 0.00, RMS: 0.49, Max: 0.50, Min: 0.48","Mean: 0.49, Std: 0.00, RMS: 0.49, Max: 0.50, Min: 0.48","Mean: 0.50, Std: 0.00, RMS: 0.50, Max: 0.51, Min: 0.49","Mean: 0.52, Std: 0.01, RMS: 0.52, Max: 0.53, Min: 0.47","Mean: 0.51, Std: 0.01, RMS: 0.51, Max: 0.53, Min: 0.49"
2,ED,"Mean: 0.41, Std: 0.00, RMS: 0.41, Max: 0.41, Min: 0.40","Mean: 0.41, Std: 0.00, RMS: 0.41, Max: 0.42, Min: 0.41","Mean: 0.41, Std: 0.00, RMS: 0.41, Max: 0.42, Min: 0.40","Mean: 0.42, Std: 0.01, RMS: 0.42, Max: 0.44, Min: 0.41","Mean: 0.42, Std: 0.01, RMS: 0.42, Max: 0.44, Min: 0.40","Mean: 0.42, Std: 0.01, RMS: 0.42, Max: 0.44, Min: 0.40","Mean: 0.41, Std: 0.01, RMS: 0.41, Max: 0.44, Min: 0.40"
