Trial,Marker,Coordinate,Task 1,Task 2,Task 3,Task 4,Task 5,Task 6,Task 7
1,1,X,"Mean: 105.36, Std: 0.84, Max: 106.53, Min: 103.49, Range: 3.04","Mean: 104.84, Std: 1.62, Max: 108.03, Min: 100.84, Range: 7.19","Mean: 101.65, Std: 0.52, Max: 103.34, Min: 100.55, Range: 2.79","Mean: 104.25, Std: 1.35, Max: 106.09, Min: 102.06, Range: 4.03","Mean: 104.58, Std: 0.91, Max: 105.83, Min: 101.93, Range: 3.89","Mean: 102.87, Std: 1.90, Max: 106.99, Min: 100.28, Range: 6.71","Mean: 103.53, Std: 2.48, Max: 109.29, Min: 97.43, Range: 11.86"
1,1,Y,"Mean: 6.12, Std: 0.58, Max: 7.40, Min: 5.03, Range: 2.36","Mean: 7.39, Std: 0.87, Max: 8.89, Min: 5.20, Range: 3.69","Mean: 7.12, Std: 0.44, Max: 8.57, Min: 6.38, Range: 2.19","Mean: 7.23, Std: 0.45, Max: 8.01, Min: 6.48, Range: 1.52","Mean: 7.35, Std: 0.32, Max: 8.02, Min: 6.58, Range: 1.44","Mean: 5.85, Std: 1.09, Max: 8.63, Min: 3.46, Range: 5.18","Mean: 6.88, Std: 0.79, Max: 8.85, Min: 5.31, Range: 3.55"
1,1,Z,"Mean: 16.51, Std: 1.67, Max: 19.09, Min: 13.54, Range: 5.55","Mean: 13.55, Std: 2.14, Max: 17.60, Min: 8.13, Range: 9.48","Mean: 21.00, Std: 0.81, Max: 22.27, Min: 18.42, Range: 3.85","Mean: 16.25, Std: 1.39, Max: 18.28, Min: 13.19, Range: 5.09","Mean: 20.09, Std: 0.79, Max: 22.15, Min: 18.02, Range: 4.14","Mean: 20.29, Std: 5.16, Max: 26.99, Min: 7.35, Range: 19.64","Mean: 17.90, Std: 3.43, Max: 28.54, Min: 12.69, Range: 15.85"
1,2,X,"Mean: 98.04, Std: 0.65, Max: 99.01, Min: 96.71, Range: 2.30","Mean: 97.75, Std: 0.90, Max: 99.73, Min: 96.09, Range: 3.64","Mean: 95.69, Std: 1.58, Max: 97.97, Min: 92.81, Range: 5.15","Mean: 95.22, Std: 0.67, Max: 96.36, Min: 93.56, Range: 2.80","Mean: 94.96, Std: 0.62, Max: 96.43, Min: 93.13, Range: 3.30","Mean: 95.00, Std: 1.55, Max: 98.64, Min: 92.66, Range: 5.97","Mean: 95.42, Std: 1.65, Max: 98.50, Min: 91.14, Range: 7.36"
1,2,Y,"Mean: -13.04, Std: 0.52, Max: -11.82, Min: -14.01, Range: 2.19","Mean: -10.82, Std: 0.41, Max: -10.06, Min: -12.51, Range: 2.45","Mean: -12.42, Std: 0.66, Max: -11.03, Min: -13.60, Range: 2.58","Mean: -12.73, Std: 0.44, Max: -11.79, Min: -13.84, Range: 2.05","Mean: -12.40, Std: 0.48, Max: -11.28, Min: -14.01, Range: 2.73","Mean: -13.01, Std: 1.18, Max: -9.48, Min: -15.20, Range: 5.72","Mean: -12.35, Std: 0.83, Max: -10.82, Min: -14.70, Range: 3.87"
1,2,Z,"Mean: 8.76, Std: 1.31, Max: 11.02, Min: 6.68, Range: 4.34","Mean: 6.70, Std: 1.83, Max: 10.08, Min: 2.65, Range: 7.43","Mean: 14.10, Std: 0.73, Max: 15.44, Min: 11.85, Range: 3.59","Mean: 9.70, Std: 0.98, Max: 11.44, Min: 7.39, Range: 4.06","Mean: 12.58, Std: 0.79, Max: 14.90, Min: 11.06, Range: 3.84","Mean: 12.88, Std: 4.34, Max: 18.67, Min: 2.44, Range: 16.23","Mean: 10.65, Std: 2.71, Max: 18.62, Min: 6.10, Range: 12.52"
1,3,X,"Mean: 89.20, Std: 0.35, Max: 89.81, Min: 88.38, Range: 1.42","Mean: 88.23, Std: 0.57, Max: 89.39, Min: 87.23, Range: 2.16","Mean: 86.59, Std: 0.84, Max: 87.84, Min: 85.07, Range: 2.78","Mean: 86.09, Std: 0.86, Max: 88.06, Min: 84.10, Range: 3.96","Mean: 86.27, Std: 0.65, Max: 87.60, Min: 85.12, Range: 2.48","Mean: 86.59, Std: 0.88, Max: 88.68, Min: 85.24, Range: 3.44","Mean: 86.88, Std: 1.14, Max: 90.50, Min: 84.88, Range: 5.62"
1,3,Y,"Mean: -25.97, Std: 0.52, Max: -24.55, Min: -26.81, Range: 2.26","Mean: -24.08, Std: 0.41, Max: -23.26, Min: -25.20, Range: 1.94","Mean: -24.83, Std: 0.16, Max: -24.17, Min: -25.24, Range: 1.07","Mean: -25.56, Std: 0.40, Max: -25.02, Min: -26.57, Range: 1.55","Mean: -25.99, Std: 0.71, Max: -24.28, Min: -28.09, Range: 3.81","Mean: -25.10, Std: 0.56, Max: -23.41, Min: -26.10, Range: 2.69","Mean: -24.52, Std: 0.49, Max: -23.41, Min: -25.76, Range: 2.34"
1,3,Z,"Mean: -3.56, Std: 1.02, Max: -1.78, Min: -5.18, Range: 3.40","Mean: -4.88, Std: 1.71, Max: -1.58, Min: -8.11, Range: 6.54","Mean: 0.85, Std: 0.55, Max: 2.04, Min: -0.64, Range: 2.68","Mean: -2.30, Std: 0.54, Max: -1.06, Min: -3.64, Range: 2.58","Mean: 0.35, Std: 0.94, Max: 3.11, Min: -1.32, Range: 4.43","Mean: -0.57, Std: 2.97, Max: 3.13, Min: -7.81, Range: 10.94","Mean: -2.29, Std: 1.98, Max: 3.42, Min: -6.47, Range: 9.89"
1,4,X,"Mean: 84.11, Std: 0.18, Max: 84.47, Min: 83.70, Range: 0.77","Mean: 82.49, Std: 0.32, Max: 83.18, Min: 81.83, Range: 1.35","Mean: 81.66, Std: 0.35, Max: 82.29, Min: 80.83, Range: 1.46","Mean: 80.41, Std: 1.16, Max: 84.23, Min: 77.73, Range: 6.50","Mean: 82.23, Std: 2.08, Max: 87.59, Min: 79.23, Range: 8.36","Mean: 83.56, Std: 1.15, Max: 85.45, Min: 80.32, Range: 5.13","Mean: 82.55, Std: 1.12, Max: 85.30, Min: 80.34, Range: 4.96"
1,4,Y,"Mean: -39.08, Std: 0.59, Max: -37.58, Min: -40.16, Range: 2.58","Mean: -35.55, Std: 0.55, Max: -34.31, Min: -36.64, Range: 2.33","Mean: -34.26, Std: 0.48, Max: -33.49, Min: -35.43, Range: 1.95","Mean: -34.74, Std: 1.15, Max: -33.09, Min: -38.12, Range: 5.04","Mean: -38.94, Std: 1.55, Max: -35.50, Min: -41.87, Range: 6.38","Mean: -35.12, Std: 1.33, Max: -32.49, Min: -37.21, Range: 4.71","Mean: -35.64, Std: 1.01, Max: -33.63, Min: -37.85, Range: 4.23"
1,4,Z,"Mean: -14.68, Std: 0.86, Max: -13.14, Min: -16.23, Range: 3.09","Mean: -15.88, Std: 1.57, Max: -13.00, Min: -18.53, Range: 5.53","Mean: -11.87, Std: 0.49, Max: -10.89, Min: -13.19, Range: 2.31","Mean: -14.91, Std: 0.50, Max: -13.77, Min: -16.74, Range: 2.97","Mean: -12.05, Std: 1.70, Max: -9.34, Min: -17.11, Range: 7.77","Mean: -14.76, Std: 1.34, Max: -12.97, Min: -18.41, Range: 5.44","Mean: -15.10, Std: 1.44, Max: -11.70, Min: -17.86, Range: 6.16"
1,5,X,"Mean: 149.73, Std: 0.96, Max: 151.14, Min: 147.84, Range: 3.30","Mean: 147.42, Std: 5.66, Max: 158.12, Min: 132.80, Range: 25.32","Mean: 143.20, Std: 1.16, Max: 147.15, Min: 141.08, Range: 6.07","Mean: 148.11, Std: 2.77, Max: 151.09, Min: 143.95, Range: 7.14","Mean: 151.58, Std: 1.37, Max: 153.23, Min: 148.10, Range: 5.13","Mean: 149.84, Std: 2.68, Max: 154.74, Min: 143.27, Range: 11.47","Mean: 148.87, Std: 3.34, Max: 157.66, Min: 143.03, Range: 14.63"
1,5,Y,"Mean: 4.47, Std: 0.76, Max: 6.63, Min: 3.10, Range: 3.52","Mean: 0.12, Std: 4.16, Max: 7.93, Min: -11.46, Range: 19.39","Mean: 1.78, Std: 1.71, Max: 6.00, Min: -0.63, Range: 6.62","Mean: 2.10, Std: 0.84, Max: 3.72, Min: 0.61, Range: 3.11","Mean: 6.25, Std: 0.74, Max: 9.02, Min: 5.13, Range: 3.89","Mean: 1.97, Std: 2.22, Max: 7.87, Min: -2.21, Range: 10.08","Mean: 3.09, Std: 2.48, Max: 9.52, Min: -1.96, Range: 11.48"
1,5,Z,"Mean: 21.06, Std: 2.26, Max: 24.69, Min: 17.01, Range: 7.68","Mean: 23.06, Std: 7.78, Max: 38.46, Min: -1.13, Range: 39.59","Mean: 30.63, Std: 2.08, Max: 34.80, Min: 25.28, Range: 9.52","Mean: 19.12, Std: 7.18, Max: 29.82, Min: 9.33, Range: 20.49","Mean: 17.09, Std: 3.54, Max: 25.30, Min: 12.59, Range: 12.71","Mean: 22.63, Std: 4.50, Max: 33.44, Min: 11.97, Range: 21.47","Mean: 19.64, Std: 11.60, Max: 34.31, Min: -15.72, Range: 50.03"
1,6,X,"Mean: 172.73, Std: 0.92, Max: 174.12, Min: 170.87, Range: 3.25","Mean: 165.33, Std: 4.94, Max: 175.40, Min: 151.61, Range: 23.79","Mean: 165.53, Std: 1.69, Max: 170.90, Min: 162.13, Range: 8.77","Mean: 170.93, Std: 2.70, Max: 173.72, Min: 166.89, Range: 6.83","Mean: 174.58, Std: 1.00, Max: 175.77, Min: 171.88, Range: 3.90","Mean: 168.91, Std: 3.42, Max: 176.64, Min: 162.68, Range: 13.97","Mean: 169.40, Std: 6.02, Max: 175.23, Min: 148.46, Range: 26.77"
1,6,Y,"Mean: 2.16, Std: 0.92, Max: 4.69, Min: 0.65, Range: 4.04","Mean: 5.06, Std: 7.10, Max: 20.63, Min: -12.41, Range: 33.05","Mean: -2.81, Std: 2.47, Max: 3.99, Min: -6.57, Range: 10.56","Mean: -1.34, Std: 1.42, Max: 1.17, Min: -3.73, Range: 4.91","Mean: 5.79, Std: 0.96, Max: 9.80, Min: 4.54, Range: 5.25","Mean: 6.62, Std: 5.85, Max: 16.96, Min: -0.75, Range: 17.71","Mean: 3.21, Std: 7.17, Max: 25.87, Min: -5.94, Range: 31.81"
1,6,Z,"Mean: 21.36, Std: 2.57, Max: 25.44, Min: 16.60, Range: 8.84","Mean: 11.39, Std: 18.22, Max: 45.00, Min: -29.53, Range: 74.53","Mean: 33.32, Std: 3.98, Max: 41.38, Min: 23.47, Range: 17.91","Mean: 16.30, Std: 11.14, Max: 32.38, Min: 2.06, Range: 30.33","Mean: 10.20, Std: 5.05, Max: 22.00, Min: 4.21, Range: 17.78","Mean: 9.85, Std: 15.21, Max: 36.87, Min: -15.58, Range: 52.44","Mean: 12.60, Std: 19.14, Max: 33.56, Min: -43.26, Range: 76.82"
1,7,X,"Mean: 192.92, Std: 0.93, Max: 194.41, Min: 191.09, Range: 3.32","Mean: 170.47, Std: 16.56, Max: 193.83, Min: 133.43, Range: 60.40","Mean: 184.69, Std: 2.23, Max: 191.27, Min: 180.05, Range: 11.22","Mean: 190.56, Std: 2.89, Max: 193.45, Min: 186.15, Range: 7.29","Mean: 193.87, Std: 0.65, Max: 195.02, Min: 192.02, Range: 3.00","Mean: 177.62, Std: 13.50, Max: 195.30, Min: 156.00, Range: 39.30","Mean: 185.19, Std: 16.63, Max: 196.78, Min: 130.05, Range: 66.73"
1,7,Y,"Mean: 0.14, Std: 1.03, Max: 2.90, Min: -1.41, Range: 4.31","Mean: 10.57, Std: 13.65, Max: 32.87, Min: -18.90, Range: 51.77","Mean: -7.18, Std: 3.17, Max: 2.30, Min: -11.87, Range: 14.17","Mean: -3.99, Std: 2.06, Max: -0.39, Min: -7.43, Range: 7.04","Mean: 5.86, Std: 1.19, Max: 10.63, Min: 4.18, Range: 6.45","Mean: 12.30, Std: 12.61, Max: 29.85, Min: -18.41, Range: 48.27","Mean: 4.07, Std: 11.49, Max: 37.34, Min: -8.50, Range: 45.84"
1,7,Z,"Mean: 22.80, Std: 2.85, Max: 27.24, Min: 17.27, Range: 9.97","Mean: 5.58, Std: 25.22, Max: 56.43, Min: -33.00, Range: 89.43","Mean: 37.47, Std: 5.94, Max: 49.54, Min: 23.00, Range: 26.54","Mean: 14.91, Std: 14.70, Max: 36.44, Min: -3.35, Range: 39.79","Mean: 5.16, Std: 6.32, Max: 19.95, Min: -2.24, Range: 22.19","Mean: 0.77, Std: 23.50, Max: 44.61, Min: -30.99, Range: 75.60","Mean: 8.98, Std: 22.16, Max: 34.41, Min: -52.56, Range: 86.97"
1,8,X,"Mean: 149.66, Std: 0.52, Max: 150.66, Min: 148.85, Range: 1.81","Mean: 147.88, Std: 0.54, Max: 149.32, Min: 146.44, Range: 2.88","Mean: 148.31, Std: 3.73, Max: 152.88, Min: 140.28, Range: 12.60","Mean: 143.07, Std: 1.24, Max: 145.12, Min: 138.57, Range: 6.55","Mean: 142.07, Std: 1.90, Max: 146.89, Min: 137.17, Range: 9.72","Mean: 148.65, Std: 3.25, Max: 153.47, Min: 142.23, Range: 11.23","Mean: 146.25, Std: 3.08, Max: 155.71, Min: 139.93, Range: 15.78"
1,8,Y,"Mean: -25.16, Std: 0.95, Max: -22.58, Min: -26.79, Range: 4.21","Mean: -25.76, Std: 1.24, Max: -22.74, Min: -28.36, Range: 5.63","Mean: -16.10, Std: 8.32, Max: -4.48, Min: -28.91, Range: 24.43","Mean: -31.19, Std: 0.98, Max: -28.90, Min: -33.52, Range: 4.62","Mean: -27.24, Std: 2.71, Max: -18.23, Min: -31.27, Range: 13.04","Mean: -26.66, Std: 4.11, Max: -18.47, Min: -34.49, Range: 16.02","Mean: -27.76, Std: 3.07, Max: -15.40, Min: -31.74, Range: 16.34"
1,8,Z,"Mean: 6.39, Std: 2.19, Max: 9.85, Min: 2.62, Range: 7.22","Mean: 2.50, Std: 2.18, Max: 7.21, Min: -3.22, Range: 10.43","Mean: 1.32, Std: 14.34, Max: 23.92, Min: -18.94, Range: 42.86","Mean: 9.94, Std: 2.94, Max: 19.28, Min: 4.83, Range: 14.46","Mean: 22.58, Std: 2.77, Max: 30.97, Min: 16.84, Range: 14.13","Mean: 10.37, Std: 3.78, Max: 18.51, Min: 2.24, Range: 16.27","Mean: 9.56, Std: 7.14, Max: 22.71, Min: -16.32, Range: 39.02"
1,9,X,"Mean: 176.50, Std: 0.48, Max: 177.28, Min: 175.47, Range: 1.81","Mean: 174.34, Std: 0.63, Max: 176.05, Min: 173.08, Range: 2.97","Mean: 169.46, Std: 3.69, Max: 175.78, Min: 161.12, Range: 14.67","Mean: 169.39, Std: 1.66, Max: 171.75, Min: 163.10, Range: 8.64","Mean: 168.66, Std: 2.06, Max: 173.18, Min: 162.89, Range: 10.29","Mean: 171.35, Std: 7.95, Max: 194.07, Min: 156.28, Range: 37.79","Mean: 172.37, Std: 3.92, Max: 177.05, Min: 151.91, Range: 25.13"
1,9,Y,"Mean: -30.81, Std: 1.09, Max: -27.64, Min: -32.61, Range: 4.97","Mean: -32.63, Std: 1.29, Max: -29.66, Min: -35.48, Range: 5.82","Mean: -13.88, Std: 16.36, Max: 8.21, Min: -38.42, Range: 46.63","Mean: -39.60, Std: 1.46, Max: -36.16, Min: -43.87, Range: 7.71","Mean: -34.42, Std: 3.76, Max: -23.10, Min: -39.67, Range: 16.56","Mean: -26.16, Std: 20.83, Max: 8.09, Min: -67.11, Range: 75.20","Mean: -31.77, Std: 8.13, Max: 5.81, Min: -41.34, Range: 47.16"
1,9,Z,"Mean: 3.93, Std: 2.65, Max: 8.15, Min: -0.38, Range: 8.54","Mean: -1.32, Std: 2.39, Max: 3.77, Min: -5.47, Range: 9.24","Mean: -10.62, Std: 25.38, Max: 29.39, Min: -43.74, Range: 73.12","Mean: 7.20, Std: 4.91, Max: 23.83, Min: -1.22, Range: 25.06","Mean: 26.33, Std: 3.91, Max: 38.77, Min: 17.15, Range: 21.63","Mean: -7.77, Std: 16.31, Max: 16.25, Min: -41.27, Range: 57.52","Mean: 3.71, Std: 12.22, Max: 25.44, Min: -41.23, Range: 66.67"
1,10,X,"Mean: 194.52, Std: 0.38, Max: 195.35, Min: 193.78, Range: 1.57","Mean: 191.59, Std: 0.58, Max: 192.99, Min: 190.21, Range: 2.77","Mean: 182.13, Std: 7.97, Max: 193.57, Min: 163.76, Range: 29.81","Mean: 186.43, Std: 1.89, Max: 188.88, Min: 178.95, Range: 9.92","Mean: 186.16, Std: 2.39, Max: 191.21, Min: 179.86, Range: 11.35","Mean: 177.73, Std: 11.49, Max: 194.34, Min: 148.20, Range: 46.14","Mean: 188.98, Std: 7.49, Max: 194.71, Min: 144.75, Range: 49.96"
1,10,Y,"Mean: -37.09, Std: 1.32, Max: -33.41, Min: -39.03, Range: 5.62","Mean: -39.76, Std: 1.90, Max: -35.03, Min: -43.36, Range: 8.33","Mean: -14.54, Std: 22.56, Max: 16.61, Min: -47.93, Range: 64.54","Mean: -47.61, Std: 2.03, Max: -43.71, Min: -53.20, Range: 9.48","Mean: -41.79, Std: 4.41, Max: -29.67, Min: -48.78, Range: 19.11","Mean: -18.46, Std: 22.33, Max: 27.36, Min: -49.37, Range: 76.73","Mean: -36.59, Std: 11.95, Max: 17.66, Min: -49.95, Range: 67.62"
1,10,Z,"Mean: 0.97, Std: 2.90, Max: 5.62, Min: -3.97, Range: 9.59","Mean: -5.23, Std: 3.75, Max: 2.73, Min: -12.37, Range: 15.09","Mean: -19.90, Std: 33.17, Max: 33.02, Min: -62.33, Range: 95.35","Mean: 4.02, Std: 6.46, Max: 26.50, Min: -6.59, Range: 33.09","Mean: 27.56, Std: 4.63, Max: 41.77, Min: 14.31, Range: 27.46","Mean: -11.81, Std: 18.61, Max: 22.97, Min: -37.47, Range: 60.45","Mean: -1.72, Std: 15.51, Max: 27.44, Min: -56.12, Range: 83.56"
1,11,X,"Mean: 134.42, Std: 0.30, Max: 135.10, Min: 133.74, Range: 1.36","Mean: 131.34, Std: 0.31, Max: 132.18, Min: 130.78, Range: 1.41","Mean: 130.95, Std: 2.50, Max: 134.76, Min: 126.45, Range: 8.31","Mean: 134.05, Std: 4.63, Max: 139.56, Min: 125.42, Range: 14.14","Mean: 129.24, Std: 2.45, Max: 136.86, Min: 125.21, Range: 11.65","Mean: 133.28, Std: 3.68, Max: 140.27, Min: 127.20, Range: 13.07","Mean: 130.40, Std: 3.52, Max: 143.50, Min: 126.02, Range: 17.48"
1,11,Y,"Mean: -41.25, Std: 0.89, Max: -38.66, Min: -42.71, Range: 4.05","Mean: -40.74, Std: 0.56, Max: -39.62, Min: -42.33, Range: 2.71","Mean: -39.37, Std: 2.83, Max: -35.37, Min: -43.89, Range: 8.52","Mean: -39.79, Std: 4.58, Max: -29.67, Min: -47.25, Range: 17.59","Mean: -44.53, Std: 1.94, Max: -37.35, Min: -46.89, Range: 9.54","Mean: -43.03, Std: 3.08, Max: -34.32, Min: -49.44, Range: 15.12","Mean: -43.08, Std: 3.78, Max: -25.02, Min: -46.61, Range: 21.59"
1,11,Z,"Mean: -5.66, Std: 1.69, Max: -2.71, Min: -8.46, Range: 5.75","Mean: -7.73, Std: 2.05, Max: -3.30, Min: -12.00, Range: 8.70","Mean: -0.31, Std: 4.01, Max: 7.12, Min: -7.45, Range: 14.57","Mean: -16.52, Std: 10.39, Max: -0.07, Min: -36.69, Range: 36.62","Mean: 3.67, Std: 4.19, Max: 12.79, Min: -6.04, Range: 18.83","Mean: 0.01, Std: 2.32, Max: 7.39, Min: -4.12, Range: 11.51","Mean: -3.15, Std: 7.25, Max: 7.05, Min: -32.59, Range: 39.64"
1,12,X,"Mean: 156.28, Std: 0.21, Max: 156.88, Min: 155.71, Range: 1.17","Mean: 151.14, Std: 0.40, Max: 152.31, Min: 150.30, Range: 2.01","Mean: 151.69, Std: 3.84, Max: 157.56, Min: 144.59, Range: 12.97","Mean: 147.79, Std: 5.83, Max: 157.12, Min: 129.44, Range: 27.68","Mean: 151.54, Std: 4.06, Max: 161.11, Min: 144.29, Range: 16.82","Mean: 154.54, Std: 3.31, Max: 161.12, Min: 145.87, Range: 15.26","Mean: 151.45, Std: 3.86, Max: 157.55, Min: 135.34, Range: 22.20"
1,12,Y,"Mean: -50.93, Std: 1.05, Max: -48.08, Min: -52.53, Range: 4.45","Mean: -52.83, Std: 0.76, Max: -50.87, Min: -54.54, Range: 3.67","Mean: -49.81, Std: 4.55, Max: -42.80, Min: -57.13, Range: 14.33","Mean: -37.02, Std: 17.36, Max: -10.52, Min: -62.19, Range: 51.67","Mean: -54.13, Std: 4.93, Max: -34.37, Min: -59.95, Range: 25.58","Mean: -42.29, Std: 12.91, Max: -5.53, Min: -58.04, Range: 52.51","Mean: -51.62, Std: 10.37, Max: -4.81, Min: -59.05, Range: 54.24"
